"SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,CHAMBER_ID,NET_CO2_FLUX,REVISION_DATE,CRTFCN_CODE"
"'SSA-OJP-FLXTR','9TF04-FLX01',07-JUL-1994,1831,'H',2.07,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',21-JUL-1994,2037,'G',3.52,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',21-JUL-1994,2047,'H',4.68,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',02-AUG-1994,2152,'G',2.44,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',02-AUG-1994,2203,'H',2.96,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',02-AUG-1994,2234,'I',6.63,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',02-AUG-1994,2244,'J',2.32,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-AUG-1994,2134,'G',1.26,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-AUG-1994,2144,'H',1.21,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-AUG-1994,2215,'I',3.18,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-AUG-1994,2225,'J',.87,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-AUG-1994,2257,'K',2.45,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-AUG-1994,2308,'L',1.35,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-AUG-1994,1830,'G',1.05,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-AUG-1994,1840,'H',.71,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-AUG-1994,1911,'I',3.43,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-AUG-1994,1924,'J',1.55,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-AUG-1994,1951,'K',1.97,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',10-AUG-1994,2001,'L',1.33,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',25-AUG-1994,2149,'G',.91,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',25-AUG-1994,2159,'H',.9,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',25-AUG-1994,2230,'I',2.66,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',25-AUG-1994,2240,'J',1.07,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',09-SEP-1994,1613,'G',.89,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',09-SEP-1994,1624,'H',.69,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',09-SEP-1994,1659,'I',3.09,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',09-SEP-1994,1711,'J',.78,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',09-SEP-1994,1743,'K',1.58,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',09-SEP-1994,1753,'L',.91,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',14-SEP-1994,1745,'H',.36,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',14-SEP-1994,1756,'G',.97,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',14-SEP-1994,1828,'I',2.62,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',14-SEP-1994,1838,'J',1.22,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',14-SEP-1994,1909,'L',.87,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',14-SEP-1994,1920,'K',1.42,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',02-JUN-1994,2000,'B',1.71,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',03-JUN-1994,1605,'B',1.65,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',04-JUN-1994,1654,'A',.29,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',04-JUN-1994,1705,'B',2.47,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',09-JUN-1994,1741,'A',-.37,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',09-JUN-1994,1753,'B',1.49,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',25-JUN-1994,2006,'B',2.56,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',25-JUN-1994,2031,'A',1.44,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',06-JUL-1994,1822,'A',.33,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',06-JUL-1994,1832,'B',2.09,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',20-JUL-1994,2050,'A',2.69,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',20-JUL-1994,2100,'B',3.66,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-JUL-1994,913,'A',3.45,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-JUL-1994,1142,'B',2.69,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-JUL-1994,1153,'A',2.62,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-JUL-1994,2127,'A',3.41,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',31-JUL-1994,2139,'B',4.64,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',01-AUG-1994,234,'B',-.56,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',01-AUG-1994,245,'A',4.72,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',01-AUG-1994,924,'B',3.51,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',01-AUG-1994,2125,'A',4.31,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',01-AUG-1994,2135,'B',4.45,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',02-AUG-1994,1904,'C',4.97,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',02-AUG-1994,1914,'D',2.78,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',02-AUG-1994,1947,'E',3.55,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',02-AUG-1994,1958,'F',3.79,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',02-AUG-1994,2032,'A',2.58,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',02-AUG-1994,2042,'B',2.99,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',04-AUG-1994,1928,'A',-.42,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',04-AUG-1994,1940,'B',2.98,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',04-AUG-1994,2017,'C',3.77,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',04-AUG-1994,2030,'D',2.07,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',04-AUG-1994,2109,'E',2.97,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',04-AUG-1994,2117,'F',2.56,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-AUG-1994,1636,'A',-.34,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-AUG-1994,1646,'B',-.76,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-AUG-1994,1720,'D',1.0,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-AUG-1994,1735,'C',2.24,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-AUG-1994,1811,'E',1.7,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-AUG-1994,1821,'F',1.64,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',10-AUG-1994,1451,'A',.74,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',10-AUG-1994,1502,'B',1.33,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',10-AUG-1994,1545,'C',2.09,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',10-AUG-1994,1556,'D',1.68,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',10-AUG-1994,1629,'E',1.16,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',10-AUG-1994,1640,'F',1.98,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',18-AUG-1994,1757,'A',-1.27,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',18-AUG-1994,1807,'B',-.1,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',18-AUG-1994,1840,'C',1.76,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',18-AUG-1994,1850,'D',1.22,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',18-AUG-1994,1935,'F',1.5,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',18-AUG-1994,1945,'E',1.18,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',26-AUG-1994,1903,'A',-1.24,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',26-AUG-1994,1915,'B',-.38,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',26-AUG-1994,1946,'C',.92,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',26-AUG-1994,1957,'D',.52,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',26-AUG-1994,2029,'E',.52,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',26-AUG-1994,2039,'F',.92,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-SEP-1994,2043,'A',.93,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-SEP-1994,2055,'B',1.75,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-SEP-1994,2150,'C',2.07,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-SEP-1994,2203,'D',1.33,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-SEP-1994,2241,'E',2.21,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',08-SEP-1994,2252,'F',1.74,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-SEP-1994,2107,'A',.69,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-SEP-1994,2117,'B',1.18,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-SEP-1994,2147,'C',1.56,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-SEP-1994,2157,'D',1.09,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-SEP-1994,2230,'E',1.93,10-NOV-1998,'CPI'"
"'SSA-YJP-FLXTR','9TF04-FLX02',15-SEP-1994,2240,'F',1.26,10-NOV-1998,'CPI'"
